english,translate
"<c=@flavor>""Caution: Contents extremely volatile. Store in a well ventilated area.""</c>","<c=@flavor>""Осторожно: содержимое крайне нестабильно. Хранить в хорошо проветриваемом помещении"".</c>"
"<c=@flavor>""Dread"" is cold.</c>","<c=@flavor>""Ужас"" — это холод.</c>"
"<c=@flavor>""Glaust...""</c>","<c=@flavor>""Глауст...""</c>"
"<c=@flavor>""Good night,"" she whispered. They were little more than speckles of light.</c>","<c=@flavor>""Спокойной ночи,"" прошептала она. Они были не более чем крошечными светящимися точками.</c>"
"<c=@flavor>""He bore the weight of his guilt.""</c>","<c=@flavor>""Он нёс бремя своей вины"".</c>"
"<c=@flavor>""Instinct"" means you have to do it.</c>","<c=@flavor>""Инстинкт"" означает, что ты должен это сделать.</c>"
"<c=@flavor>""It's a custom masterpiece refined from hundreds of bounties. I doubt even I could evade its mark."" —Nakato Ibori</c>","<c=@flavor>""Это кастомный шедевр, заточенный на сотнях вознаграждений. Сомневаюсь, что даже я смог бы уклониться от его метки"". —Накато Ибори</c>"
"<c=@flavor>""Legacy""? It follows you.</c>","<c=@flavor>""Наследие""? Оно следует за тобой.</c>"
"<c=@flavor>""Lift up thy weapons. For you are my soldiers, and must you be steadfast, strong, and brave of heart. They who neither hesitate nor stumble shall be rewarded."" -Scriptures of Balthazar, 48 BE</c>","<c=@flavor>""Вознесите ваше оружие. Ибо вы — мои солдаты, и вы должны быть стойкими, сильными и храбрыми сердцем. Те, кто не колеблется и не спотыкается, будут вознаграждены"". —Писания Бальтазара, 48 БЭ</c>"
"<c=@flavor>""Normal choya are vicious, but give these guys an extra three feet of height and reach, and they become unstoppable."" —Pit Master Oberon</c>","<c=@flavor>""Обычные чойя свирепы, но дайте этим парням лишние три фута роста и размах рук — и они становятся неудержимыми"". —Смотритель Ямы Оберон</c>"
<c=@flavor>...but you must act now. No one else can see it; only you.</c>,<c=@flavor>...но ты должен действовать сейчас. Никто другой этого не видит; только ты.</c>
"<c=@flavor>A flicker of light at the corner of my eye. For a moment, I thought it was her.</c>","<c=@flavor>Вспышка света краем глаза. На мгновение я подумал, что это она.</c>"
<c=@flavor>A living being's most primal fear—its antithesis—is death.</c>,<c=@flavor>Самый первобытный страх живого существа — его противоположность — это смерть.</c>
