english,translate
Durmand Priory Excavators Remaining,Оставшиеся экскаваторы Дурмандского приората
Dwarven Runes,Дварфийские руны
Dwarven Sack,Гномий мешок
Dwarven Vats,Дворфийские чаны
"Each potion randomly reassigns a character's appearance settings:  height, body type, skin color, markings, face, and hair. Race, gender, and profession will remain the same.","Каждое зелье случайным образом изменяет настройки внешности персонажа: рост, телосложение, цвет кожи, отметины, лицо и причёску. Раса, пол и профессия останутся прежними."
East Wing Door,Дверь восточного крыла
Eastern Conveyor,Восточный конвейер
Eastern Crane,Восточный кран
Eastern Parapet,Восточный парапет
Elementalist Trainer,Тренер элементалистов
Emi,Эми
"Empress Haebaragi has been officially crowned Cantha's first leading empress. As you'd expect, the news hasn't been met with unanimous praise, but it's a good step in the right direction nonetheless.Her first order was to make peace with a small tengu village just south of ministry headquarters. Jimin didn't obey. He killed their ambassador on the spot, claiming loyalty to Minister Yeongi's image of a ""pure Cantha"" (a disgusting, long-dated ideology). Haebaragi was able to call off the attack, giving the rest of the tengu villagers enough time to flee to Echovald Forest.I've already heard whispers of Yeongi rallying forces against Haebaragi... One war ends, another begins. And another.Minister Doh Taelin, Ministry of Archives, 1743 CC","Императрица Хэбараги была официально коронована как первая правящая императрица Кантхи. Как и следовало ожидать, эта новость не была встречена единодушной похвалой, но тем не менее это хороший шаг в правильном направлении.Её первым приказом было заключить мир с небольшой деревней тенгу к югу от штаб-квартиры министерства. Джимин не подчинился. Он убил их посла на месте, заявив о верности образу «чистой Кантхи» министра Ёнги (отвратительная, давно устаревшая идеология). Хэбараги удалось отменить атаку, дав остальным жителям деревни тенгу достаточно времени, чтобы бежать в Лес Эховальд.Я уже слышал шепот о том, что Ёнги собирает силы против Хэбараги... Одна война заканчивается, начинается другая. И ещё одна.Министр Doh Taelin, Ministry of Archives, 1743 CC"
"Enclosed is your candy-powered matter meter, developed by the Durmand Priory (inspired by the College of Statics).<br><br>Each meter is powered by candy corn. The elusive material has close ties to the Mad King's realm, which leaks over into Tyria at this time of year.<br><br>Using a kernel as a focus, you can scan four different frequencies: aqueous, gaseous, etheric, and corporeal. There are suspicious locations on all four frequencies, and it's up to you to discover them.<br><br>Try it with the little ghost standing right next to me. She's hiding behind an etheric veil, so use the etheric frequency!<br><br>You'll notice, on your journey, that each page from the Mad King's past contains clues on how to proceed. Pay close attention to these clues, for they are the only way you will piece together the past and complete our volume of Mad Memoires.<br><br>We're missing six stories. Now get moving! We only have so long before the energies of the Mad Realm vanish again!<br><br>—Magister Tassi","Прилагается ваш конфетно-энергетический измеритель материи, разработанный Приоратом Дурмана (по вдохновению от College of Statics).<br><br>Каждый измеритель работает на кукурузных конфетах. Этот неуловимый материал тесно связан с королевством Безумного Короля, которое просачивается в Тирию в это время года.<br><br>Используя зёрнышко как фокус, вы можете сканировать четыре разные частоты: водную, газовую, эфирную и телесную. На всех четырёх частотах есть подозрительные места, и вам предстоит их обнаружить.<br><br>Попробуйте на маленьком призраке, стоящем рядом со мной. Она прячется за эфирной завесой, так что используйте эфирную частоту!<br><br>Вы заметите в своём путешествии, что каждая страница из прошлого Безумного Короля содержит подсказки о том, как действовать дальше. Обращайте на эти подсказки пристальное внимание, ведь только так вы сможете собрать воедино прошлое и завершить наш том «Безумных мемуаров».<br><br>Нам не хватает шести историй. А теперь вперёд! У нас осталось не так много времени, прежде чем энергии Безумного Королевства исчезнут снова!<br><br>—Magister Tassi"
Ettin Chieftain,Вождь эттинов
Ettin Tracker 2100,Эттин-трекер 2100
Ettin Tracker 3650,Эттин-трекер 3650
Ettin Tracker 5000,Эттин-трекер 5000
Ettin Tracker 6,Эттин-трекер 6
Ettin Tracker 7621,Эттин-трекер 7621
Event Cooldown Begin: %str1%.  Duration: %num1% seconds.,Начало перезарядки события: %str1%. Продолжительность: %num1% секунд.
"Explorer Campbell, the researcher we rescued at Fort Salma, provided us with a cipher that gained us access to the Durmand Priory's inner research facilities. Once inside, we explored the library before making our way into the Special Collections room, which was packed from floor to ceiling with rare antiquities and artifacts.We met up with Ogden Stonehealer, who had been hard at work researching dragon history. At his request, we handled a mysterious hourglass and were unexpectedly transported to Glint's Lair. I explored its wondrous paths, putting down the creatures in our way. Whether they were guardians of the lair, or simply manifestations created by the magic that was freed upon Glint's death, I am unsure. I did, however, see echoes of past events. The Master of Peace had visited the lair before us, and he found what appeared to be Glint's remaining egg.We returned to the Priory and discussed our findings with Ogden. Now more than ever, it is crucial that we find the Master of Peace and help him protect Glint's egg before Mordremoth seeks to destroy it.","Исследователь Кэмпбелл, учёный, которого мы спасли в Fort Salma, предоставил нам шифр, который дал нам доступ к внутренним исследовательским помещениям Дурманда Приората. Оказавшись внутри, мы исследовали библиотеку, прежде чем пробраться в комнату Специальных Коллекций, которая была забита от пола до потолка редкими древностями и артефактами.Мы встретились с Огденом Камнелекарем, который усердно работал над исследованием истории драконов. По его просьбе мы прикоснулись к таинственным песочным часам и неожиданно перенеслись в Glint's Lair. Я исследовал его чудесные тропы, уничтожая существ на нашем пути. Были ли они стражами логова или просто проявлениями, созданными магией, освобождённой после смерти Глинт, я не уверен. Однако я видел отголоски прошлых событий. Master of Peace посещал логово до нас и нашёл то, что казалось оставшимся яйцом Глинт.Мы вернулись в Приорат и обсудили наши находки с Огденом. Сейчас, как никогда, важно найти Master of Peace и помочь ему защитить яйцо Глинт, прежде чем Мордремот попытается его уничтожить."
Explosives Kit,Набор взрывчатки
Faded Tiger Tracks,Выцветшие тигриные следы
Faint Tiger Tracks,Слабые следы тигра
Faint Tracks Leading to Dredgehaunt Cliffs,"Слабые следы, ведущие к Dredgehaunt Cliffs"
Farmer Haywood,Фермер Хейвуд
Farmhand Abhean,Батрак Абхиан
