english,translate
Mental Anguish,Ментальная мука
Mental Defense,Ментальная защита
Mental Focus,Ментальный фокус
Mental Gymnastics,Ментальная гимнастика
Merciful Ambush,Милосердная засада
Mercurial Tendencies,Ртутные наклонности
Merged Boon Extension,Продление объединенных благословений
Metaphysical Rejuvenation,Метафизическое омоложение
Method of Madness,Метод безумия
Meticulous Custodian,Скрупулезный хранитель
Might Makes Right,Сила даёт право
Might applied to you grants more power. Your critical-hit chance is increased.,Дарованная вам Мощь даёт больше Силы. Вы имеете увеличенный шанс на критическое попадание.
Might grants you more power and less condition damage. Gain might when using a legendary stance skill.,"Мощь даёт вам больше Силы и меньше урона от состояний. Вам даруется Мощь, когда вы используете умения легенд."
Might grants you more power. Gain might when entering shroud.,"Мощь ещё больше увеличивает вашу Силу. Вам даруется Мощь, когда вы входите в Саван."
Might of the Protector,Мощь защитника
"Mighty Blow becomes Glacial Blow. Heal when you disable, immobilize, or chill a foe.","Мощный удар становится Ледяным ударом. Исцеляет вас при наложении на врага эффектов контроля, обездвиживания или охлаждения."
Minimum Bonus Damage,Минимальный бонус к урону
Minion Heal,Исцеление миньона
Minion Life Steal,Похищение жизни миньоном
"Minions deal more damage and take conditions from you. When a minion attacks, it transfers conditions to its target.
<c=@reminder>There is a 10 second cooldown per minion.</c>","Миньоны наносят больше урона и забирают ваши состояния. При атаке миньон передает состояния своей цели.
<c=@reminder>Для каждого миньона действует 10-секундная перезарядка.</c>"
Mirage Cloak increases your movement speed.,Покров миража увеличивает вашу скорость передвижения.
Mirage Mantle,Мантия миража
Missile Hits Required,Требуемое количество попаданий снарядов
"Missile hits launch a rocket at your target. After enough rockets have been fired, an orbital strike is called instead.
<c=@reminder>This trait has an internal cooldown.</c>","Попадания снарядов запускают ракету в вашу цель. После определенного количества выпущенных ракет вызывается орбитальный удар.
<c=@reminder>У этой черты есть внутренняя перезарядка.</c>"
Mistfire,Огонь тумана
Modified Ammunition,Модифицированные боеприпасы
Moment of Clarity,Момент ясности
Monk's Focus,Фокус монаха
Morph. Briefly block incoming attacks.,Морф. Ненадолго блокирует входящие атаки.
Morph. Convert damaging conditions to barrier and nondamaging conditions to protection.,"Морф. Преобразует наносящие урон состояния в барьер, а ненаносящие — в протекцию."
Morph. Create a giant blade to maim your enemy. This attack destroys the barrier of enemies hit.,"Морф. Создает гигантский клинок, чтобы покалечить врага. Эта атака разрушает барьер пораженных врагов."
"Morph. Grow protective spikes, damaging nearby enemies. For a short duration, the spikes react when you are struck, damaging nearby enemies again.","Морф. Выращивает защитные шипы, нанося урон ближайшим врагам. В течение короткого времени шипы реагируют на удары по вам, снова нанося урон ближайшим врагам."
"Morph. Launch cutting disks at your enemies, piercing enemies in their path. Enemies struck are crippled; if an enemy is struck by all three disks, they are immobilized.","Морф. Запускает режущие диски в ваших врагов, пронзая их на своем пути. Пораженные враги получают эффект увечья; если враг поражен всеми тремя дисками, он обездвиживается."
"Morph. Spin around a hunk of metal, then finish with a forward smash.","Морф. Вращает кусок металла, завершая атаку мощным ударом вперёд."
"Morph. Thrust forward with a spike, piercing the defense of your foe.","Морф. Выпад шипом вперёд, пронзающий защиту вашего врага."
Motivation Stacks,Стаки мотивации
Movement skills grant resistance.,Умения с перемещением даруют Сопротивляемость.
Movement skills grant swiftness and increase flow rate.,Навыки передвижения дают быстрота и увеличивают скорость накопления потока.
Movement skills grant you swiftness and endurance.,Умения с перемещением даруют Быстроту и выносливость.
Movement skills grant boons and adrenaline when used.,Навыки передвижения дают благословения и адреналин при использовании.
Mug,Грабёж
Natural Balance,Природный баланс
Natural Fortitude,Природная стойкость
Natural Mender,Природный целитель
Natural Vigor,Природная бодрость
Nature's Shield,Щит природы
Nature's Vengeance,Месть природы
Nearby allies gain boons for each clone you shatter. Grant boons to nearby allies when you summon a <c=@abilitytype>phantasm</c>.,"Союзники поблизости получают дары за каждого клона, разбитого вами на осколки. Вы даруете Рвение союзникам поблизости, когда создаете фантом. <c=@abilitytype>фантазма</c>."
Nearby allies gain the passive effect of Virtue skill 2.,Близлежащие союзники получают пассивный эффект умения Добродетели 2.
Nearby foes are blinded by <c=@abilitytype>Beast</c> abilities.,Умения зверя ослепляют противников поблизости. <c=@abilitytype>Зверя</c>.
Necromantic Corruption,Некромантическая порча
Nefarious Favor Cooldown Increase,Увеличение времени перезарядки Гнусного одолжения
Nefarious Favor now burns nearby enemy targets.,Умение Nefarious Favor теперь поджигает противников поблизости.
New Genes,Новые гены
New combat subroutines enable your mech to use Rocket Punch when you activate Skill 3 on your equipped weapon. Your mech gains a greater percentage of your own toughness and vitality stats.,"Новые боевые подпрограммы дают вашему Меху возможность использовать умение Rocket Punch, когда вы активируете 3-е умение вашего оружия. Мех наследует повышенную часть вашей Прочности и Живучести."
Next attack weakens enemies.,Следующая атака ослабляет врагов.
No Escape,Нет пути к отступлению
No Scope,Без прицела
No-Clone Heal,Исцеление без клона
Nomad's Endurance,Выносливость кочевника
Notes Granted,Дарованные ноты
Notoriety,Дурная слава
Nourishing Ashes,Питательный пепел
Numinous Gift,Божественный дар
Oakheart Salve,Мазь Дубосерда
One in the Chamber,Один в патроннике
One with Air,Единение с воздухом
One-Clone Heal,Исцеление одного клона
Opening Strike,Начальный удар
Opening Strike has an increased chance to critically strike.,Открывающий удар имеет повышенный шанс на критическое попадание.
Oppressive Superiority,Подавляющее превосходство
Optimized Activation,Оптимизированная активация
Other Legend Healing,Исцеление от других легенд
Outgoing Damage Adjustment,Корректировка исходящего урона
Outgoing physical damage is increased.,Исходящий физический урон увеличен.
Over Shield,Сверхщит
Overflowing Thirst,Переполняющая жажда
"Overheat now blasts damage to nearby foes and no longer deals its initial damage to you. The tool belt recharge penalty for Overheat is reduced. Heat can only be lost after overheating.
<c=@reminder>Damage over time from Overheat is still applied.</c>","Перегрев теперь наносит взрывной урон ближайшим врагам и больше не наносит начальный урон вам. Штраф к перезарядке навыков пояса за Перегрев снижен. Тепло можно сбросить только после перегрева.
<c=@reminder>Периодический урон от Перегрева все ещё накладывается.</c>"
